code,condition
00,Cloud development not observed or not observable.
01,Clouds generally dissolving or becoming less developed.
02,State of sky on the whole unchanged
03,Clouds generally forming or developing
04,"Visibility reduced by smoke e.g. forest fires, industrial smoke or volcanic ashes."
05,Haze
06,"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation"
07,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s) and no duststorm or sand-storm seen."
08,"Well developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the time of observation, but no duststorm or sand-storm"
09,Duststorm or sandstorm within sight at the time of observation or at the station during the preceding hour.
10,Mist
11,"Patches of Shallow fog or ice fog at the station whether on land or sea, not deeper than about 2 meters on land or 10 meters at sea."
12,"More or less continuous Shallow fog or ice fog at the station whether on land or sea, not deeper than about 2 meters on land or 10 meters at sea."
13,"Lightening visible, no thunder heard."
14,"Precipitation within sight, not reaching the ground or the surface of the sea."
15,"Precipitation within sight, reaching the ground or the surface of the sea, but distant (i.e. estimated to be more than 5 kms.) from the station."
16,"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station."
17,"Thunderstorm, but no precipitation at the time of observation."
18,Squalls At or within sight of the station during the preceding hour or at the time of observation
19,Funnel cloud(s)* At or within sight of the station during the preceding hour or at the time of observation
20,Drizzle (not freezing) or snow grains not falling as showers
21,Rain (not freezing) not falling as showers
22,Snow not falling as showers
23,Rain and snow or ice pellets not falling as showers
24,Freezing drizzle or freezing rain not falling as showers
25,Shower (s) of rain
26,"Shower (s) of snow, or of rain and snow"
27,"Shower (s) of hail*, or of hail and rain"
28,"Fog, or ice fog"
29,Thunderstorm (with or without precipitation).
30,hour. Moderate Dust-storm or  Sand-storm Has decreased during the preced-Slight 
31,hour. Moderate Dust-storm or  Sand-storm No appreciable change during the preceding hour.
32,hour. Moderate Dust-storm or  Sand-storm Has begun or has increased during the preceding hour.
33,Severe dust-strom or Sand-storm has decreased during the preceding hour.
34,Severe dust-strom or Sand-storm No appreciable change during the preceding hour.
35,Severe dust-strom or Sand-storm Has begun or has increased during the preceding hour.
36,Slight or moderate drifting snow Generally low (below eye level)
37,Heavy drifting snow (below eye level) Generally low (below eye level)
38,Slight or moderate blowing snow Generally high (above eye level)
39,Heavy blowing snow Generally high (above eye level)
40,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer."
41,"Fog or ice fog, in patches Has become thinner during the preceding hour."
42,"Fog or ice fog, sky visible Has become thinner during the preceding hour."
43,"Fog or ice fog, sky invisible Has become thinner during the preceding hour."
44,"Fog or ice fog, sky visible No appreciable Change during the preceding hour"
45,"Fog or ice fog, sky invisible No appreciable Change during the preceding hour"
46,"Fog or ice fog, sky visible Has begun or has become thicker during the preceding hour"
47,Fog or ice fog sky invisible  Has begun or has become thicker during the preceding hour
48,"Fog, depositing rime, sky visible."
