id,index,station_name,type
1,42969,Angul,SURFACE
2,42343,Ajmer,SURFACE
3,43128,Hyderabad,SURFACE
4,43086,Ramagundam,SURFACE
5,43181,Gannavaram,SURFACE
6,43353,Cochin,SURFACE
7,43325,Salem,SURFACE
8,42177,Narnaul,SURFACE
9,42500,Purnea,SURFACE
10,42398,SILIGURI,SURFACE
11,42026,Gulmarg,SURFACE
12,43168,Mahbubnagar,SURFACE
13,43083,Medak,SURFACE
14,43049,Gopalpur,SURFACE
15,42083,Shimla,SURFACE
16,42849,Khargone,SURFACE
17,42460,Datia,SURFACE
18,42779,Pendra Road,SURFACE
19,43003,Mumbai,SURFACE
20,42339,Jodhpur,SURFACE
21,42237,Phalodi,SURFACE
22,42077,Una,SURFACE
23,42737,Rajkot (A),SURFACE
24,42423,PET Jorhat,SURFACE
25,43348,Adiramapattinam,SURFACE
26,42709,Burdwan,SURFACE
27,42488,Chapra,SURFACE
28,42393,Supaul,SURFACE
29,43263,Hassan,SURFACE
30,43133,Nalgonda,SURFACE
31,43198,AMS Sambre,SURFACE
32,42860,Betul,SURFACE
33,42674,Damoh,SURFACE
34,43303,Vellore,SURFACE
35,42693,AMBIKAPUR,SURFACE
36,42752,Dhar,SURFACE
37,42361,Gwalior,SURFACE
38,43317,Udagamandalam.,SURFACE
39,43372,Thiruvananthapuram(A),SURFACE
40,42671,Sagar,SURFACE
41,42976,Paradeep CDR,SURFACE
42,43109,Harnai,SURFACE
43,43271,Arogyavaram,SURFACE
44,43014,Chikalthana,SURFACE
45,42503,Maldah,SURFACE
46,42840,Surat,SURFACE
47,42045,Banihal,SURFACE
48,43237,Anantapur,SURFACE
49,42492,Patna,SURFACE
50,42768,Chhindwara,SURFACE
51,42420,Golaghat,SURFACE
52,42182,Safdarjung,SURFACE
53,43344,Tiruchirapalli,SURFACE
54,42767,Pachmarhi,SURFACE
55,43285,RS/RW Panambur,SURFACE
56,43284,AMS Bajpe,SURFACE
57,42763,Hoshangabad,SURFACE
58,42770,Narsinghpur,SURFACE
59,42137,SMO Karnal,SURFACE
60,42328,Jaisalmer,SURFACE
61,42114,Tehri,SURFACE
62,42661,Ratlam,SURFACE
63,42933,Akola City,SURFACE
64,43087,Hanamkonda,SURFACE
65,42651,Idar,SURFACE
66,43361,Tondi,SURFACE
67,42407,Goalpara,SURFACE
68,42830,Porbandar (A),SURFACE
69,42577,Sidhi,SURFACE
70,43197,Belgaum,SURFACE
71,43258,Shimoga,SURFACE
72,43289,Mandya,SURFACE
73,42387,Muzaffarpur,SURFACE
74,43225,Karwar,SURFACE
75,42915,Valsad,SURFACE
76,42574,Rewa,SURFACE
77,42314,Mohanbari,SURFACE
78,43360,Madurai Airport,SURFACE
79,42834,Amreli,SURFACE
80,42909,Veraval,SURFACE
81,42027,MC Srinagar,SURFACE
82,43330,Thanjavur.,SURFACE
83,42876,Durg,SURFACE
84,42523,Lumding,SURFACE
85,43057,Mumbai (Colaba),SURFACE
86,42101,Patiala,SURFACE
87,42886,Jharsuguda,SURFACE
88,43364,Hutbay,SURFACE
89,43185,Machilipatnam,SURFACE
90,42506,Balurghat,SURFACE
