Code_figure,VV in Kms.
0, Less than 0.1
1,0.1
2,0.2
3,0.3
4,0.4
5,0.5
6,0.6
7,0.7
8,0.8
9,0.9
10,1
25,2.5
26,2.6
27,2.7
28,2.8
29,2.9
30,3
31,3.1
32,3.2
33,3.3
34,3.4
35,3.5
50,5.9
51,Not used 
52,Not used
53,Not used
54,Not used
55,Not used
56,6
57,7
58,8
59,9
60,10
75,25
76,26
77,27
78,28
79,29
80,30
81,35
82,40
83,45
84,50
85,55
11,1.1
12,1.2
13,1.3
14,1.4
15,1.5
16,1.6
17,1.7
18,1.8
19,1.9
20,2
21,2.1
22,2.2
23,2.3
24,2.4
36,3.6
37,3.7
38,3.8
39,3.9
40,4
41,4.1
42,4.2
43,4.3
44,4.4
45,4.5
46,4.6
47,4.7
48,4.8
49,4.9
61,11
62,12
63,13
64,14
65,15
66,16
67,17
68,18
69,19
70,20
71,21
72,22
73,23
74,24
86,60
87,65
88,70
89,Greater than 70
90,Less than 50 m
91,50 m
92,200 m
93,500 m
94,1000 m
95,2000 m
96,4000 m
97,10 kms.
98,20 kms.
99,50 kms. Or more
